id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
3tt4UgABTgSZUuD01OYcry,5.37e-05,0.413,0.813,0.00558,0.0919,-12.196,1,0.052,124.176,0.729
51qnsjPJ9V9ZNoc2bGKaP3,0.0319,0.346,0.679,7.54e-06,0.194,-11.845,1,0.0574,93.734,0.661
3AIg56DmaxyiLQBzPDv9hI,0.293,0.57,0.457,0.00107,0.0862,-13.178,1,0.0291,103.668,0.749
5cy5IStIn7OSHDEIgXeDyq,0.00015,0.489,0.913,0.709,0.0703,-9.152,0,0.0479,135.756,0.539
0zClrkFd5UQuUFys243KjP,0.0643,0.432,0.643,0.00738,0.361,-10.678,1,0.0398,115.043,0.277
3hzBfTfRIuJhV8UO70h7yZ,0.00213,0.424,0.846,0.846,0.415,-10.408,1,0.0662,145.827,0.378
2uzRCHfNOpf8qW6OHZWeTA,0.00027,0.333,0.818,0.888,0.427,-11.035,1,0.0452,152.713,0.55
4S3XYcZFs6FbsiLwH13Z63,0.401,0.874,0.419,0.051,0.0997,-14.501,0,0.0552,116.206,0.823
6wIflb0fkuq0HTh3d19t4M,0.000404,0.601,0.857,0.209,0.372,-5.678,0,0.0339,127.994,0.41
0ECEzvs4Sy49nYbvEFL3Xw,0.00159,0.393,0.928,0.0757,0.551,-10.563,1,0.0482,161.694,0.738
7sLzEsh00D57eqNnDhySkC,0.000793,0.473,0.757,3.79e-05,0.363,-4.971,1,0.03,95.988,0.635
3tc5tmcnmuZ2xTdHCqhfSe,0.175,0.314,0.846,0.0,0.0972,-10.787,1,0.0524,161.323,0.604
5SIuyYZIVW9WU90puvFG1x,4.28e-05,0.275,0.884,0.0462,0.332,-3.814,0,0.0775,149.923,0.472
7Bd6NXyt0rfaGJmiSfu1VD,0.000305,0.211,0.796,0.00291,0.306,-10.598,0,0.0431,141.281,0.497
6zefZAxPam66k5K1Ft5Mop,0.132,0.54,0.859,0.82,0.348,-5.832,1,0.0322,104.094,0.754
2pvSQWvGZniKgWEJNAOgLU,0.0418,0.373,0.823,0.133,0.101,-11.173,1,0.0391,134.647,0.498
7n1y2CPoIczxvwh5w9EqKa,0.00174,0.657,0.875,0.00159,0.162,-5.079,1,0.056,111.979,0.354
0o80AT7kN2IZAjIS3yW6mf,0.00201,0.675,0.391,0.00292,0.13,-11.897,1,0.0328,113.075,0.767
0QYAApfVaKf0oZB3w5H0bm,0.00154,0.526,0.9,0.0,0.412,-6.254,1,0.0558,134.982,0.55
45uN41QTl8pitqs8f9FhAp,0.0101,0.603,0.62,8.04e-05,0.374,-12.109,1,0.0315,148.305,0.769
3IHAU5AjQIyWHevaEcah3Q,0.000877,0.696,0.675,0.0571,0.122,-5.489,1,0.0261,102.017,0.637
2NOLOmiGsu9vlfyJSIcglu,0.00127,0.406,0.896,0.13,0.102,-9.0,1,0.0635,115.035,0.369
2ce6x2fCzlgI2fnCAGJDUu,8.5e-05,0.509,0.952,0.0239,0.128,-4.666,0,0.0466,140.116,0.654
0WKyfuiS9k92NXs68lXXXL,0.0725,0.516,0.68,4.6e-05,0.201,-10.928,1,0.0339,121.109,0.83
4HNr23mjgOlfEynX5GsNwp,0.000516,0.526,0.755,0.00242,0.105,-5.226,1,0.029,126.19,0.335
4mrgQf8FHrmBRGYHnzOWaI,0.0866,0.539,0.619,0.459,0.137,-8.779,1,0.0294,114.021,0.45
6JSUd8Xqzfiopc31BL6bqL,0.0717,0.484,0.66,0.0,0.0807,-10.049,1,0.0581,121.914,0.544
2nLtzopw4rPReszdYBJU6h,0.00353,0.488,0.87,0.0,0.484,-4.185,0,0.0421,110.072,0.211
60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,0.864,0.0,0.209,-5.87,0,0.0584,105.143,0.4
18lR4BzEs7e3qzc0KVkTpU,0.0092,0.627,0.935,0.0,0.147,-4.882,1,0.0324,120.092,0.287
373gDROnujxNTFa1FojYIl,0.00412,0.596,0.798,0.0,0.338,-4.63,1,0.0285,105.01,0.459
4Yf5bqU3NK4kNOypcrLYwU,0.127,0.554,0.98,0.0,0.0833,-3.514,1,0.108,135.12,0.611
3K4HG9evC7dg3N0R9cYqk4,0.0014,0.492,0.969,1.32e-06,0.0787,-4.419,1,0.0491,95.136,0.538
0UFDKFqW2oGspYeYqo9wjA,0.113,0.541,0.969,0.0,0.638,-3.439,1,0.0458,140.119,0.599
5sNESr6pQfIhL3krM8CtZn,0.0603,0.687,0.793,0.0,0.582,-4.254,1,0.166,107.045,0.751
3fjmSxt0PskST13CSdBUFx,0.000386,0.451,0.951,2.56e-06,0.261,-3.754,1,0.0645,162.041,0.441
57BrRMwf9LrcmuOsyGilwr,0.0466,0.58,0.702,3.2e-06,0.536,-5.565,1,0.0337,105.076,0.299
1fLlRApgzxWweF1JTf8yM5,0.00113,0.655,0.886,0.000409,0.0448,-4.116,1,0.0435,100.088,0.938
7oVEtyuv9NBmnytsCIsY5I,0.0143,0.585,0.972,0.0,0.0707,-4.45,0,0.0534,110.006,0.585
2ipYQ6pcabz1NovVrr9LKH,0.00205,0.626,0.909,5.19e-06,0.29,-4.419,0,0.131,140.027,0.737
1Vej0qeQ3ioKwpI6FUbRv1,0.00022,0.524,0.939,0.0,0.623,-3.994,1,0.113,150.184,0.661
3dxiWIBVJRlqh9xk144rf4,0.105,0.58,0.865,0.0,0.106,-4.359,0,0.0313,100.016,0.587
1r1fPuhj9H4VdXr7OK6FL5,0.0686,0.615,0.911,0.00188,0.0908,-3.584,0,0.0278,108.0,0.685
3xXBsjrbG1xQIm1xv1cKOt,0.904,0.593,0.2,0.0,0.0897,-11.063,1,0.0311,83.966,0.17
5rAxhWcgFng3s570sGO2F8,0.0144,0.603,0.908,0.0,0.671,-5.254,1,0.184,133.063,0.457
0sp00HSXkQyqTa6QqM0O8V,0.213,0.514,0.637,2.27e-06,0.389,-6.418,1,0.0363,80.401,0.18
4qVR3CF8FuFvHN4L6vXlB1,0.007,0.531,0.952,0.0,0.0672,-3.361,0,0.205,160.125,0.76
50jyxHSIHAz7N5jIzODvs4,0.00386,0.642,0.954,4.61e-06,0.102,-2.605,1,0.0703,120.065,0.539
5egqKwgK5r5rvGD1LrtR7J,0.03,0.512,0.97,0.0,0.0994,-3.886,0,0.212,94.952,0.427
6Wx88Mv6b9ofjKMKkdwOJd,0.000235,0.493,0.808,0.0,0.0983,-3.365,0,0.0362,117.971,0.38
697M5JB8FDIyRXEXgl1pBZ,0.045,0.448,0.967,0.0,0.575,-2.852,0,0.0804,94.984,0.361
2oNYsdCasRRlz1shXFAz7D,0.0154,0.546,0.98,0.0,0.31,-3.02,0,0.0619,120.037,0.478
104buTcnP2AsxqB7U1FIZ4,0.0484,0.59,0.671,0.0,0.0604,-6.098,1,0.0706,149.982,0.438
3aYBjxTMvrEOP0A0UXg9ER,0.00774,0.466,0.852,2.6e-06,0.0989,-4.487,1,0.0585,164.032,0.428
5JHNg1hxZFT7TDEphhM4wj,0.0415,0.487,0.961,1.15e-06,0.553,-4.139,1,0.132,170.005,0.323
4CWhc9FaMMfBTt4ANjfbOf,0.00333,0.571,0.938,1e-05,0.203,-4.206,0,0.0509,132.632,0.412
3FQCJI2t5LTbsRPfYVBSVB,0.0369,0.653,0.839,0.0,0.068,-5.077,1,0.0685,149.034,0.669
1dYw8HTRJnFpeEeMtXj99a,0.263,0.599,0.788,0.00525,0.155,-6.25,0,0.0294,100.001,0.581
4dbveKUpOx62SiwXQCALQH,0.0367,0.494,0.905,1.41e-05,0.109,-4.662,0,0.044,180.035,0.383
0OYcEfskah1egYHjYRvbg1,0.00539,0.529,0.376,0.0195,0.107,-7.913,1,0.0288,110.026,0.0581
7nAfXgeHfDO50upcOjJOaq,0.00184,0.593,0.712,0.0,0.128,-6.325,0,0.0286,124.013,0.473
00KfIFi2TpAaQGPbRbFbKJ,0.00401,0.553,0.907,0.0,0.266,-5.623,0,0.0484,100.967,0.451
69ZEgPX0hxWXJIqkTlYz41,0.198,0.484,0.727,0.00204,0.107,-6.107,1,0.0358,120.066,0.216
3BnBKNItMng824sLx0pUfy,0.00225,0.687,0.871,0.00708,0.134,-5.531,1,0.0689,115.0,0.539
3dJj6o9o1fRgrojWjailuz,0.0107,0.645,0.688,0.0,0.186,-4.749,1,0.0341,139.957,0.433
6lXhmc2P7lGOBZDasmS9Uv,0.00427,0.41,0.884,7.71e-05,0.0933,-2.98,1,0.0577,135.011,0.142
4zNk347FJz4yDDcjUhJJMI,0.0621,0.508,0.88,9.43e-05,0.15,-6.441,0,0.0448,140.065,0.337
5bvgRxco3jgSZ3SP8rueDA,0.0372,0.56,0.925,0.0,0.104,-5.48,1,0.0362,135.009,0.178
650OeHTLxZAQmb4aEbGmaA,0.106,0.697,0.84,0.0,0.748,-4.602,0,0.054,128.034,0.452
3NvAcUYxfyZhW2ALOGknXB,9.75e-05,0.389,0.995,3.98e-05,0.197,-3.495,0,0.0931,80.004,0.407
4pnFRnCOfaETea25g0YSvG,0.102,0.579,0.96,0.0,0.0674,-3.152,0,0.245,133.63,0.566
2n1jBz26dVBtSbMvJNjGsu,0.0172,0.47,0.878,0.054,0.235,-3.391,0,0.0429,114.986,0.322
6mPBbL3WsTHy2xZ0A7l1Mq,0.249,0.343,0.316,3.23e-06,0.0838,-7.879,1,0.0277,104.823,0.0642
0pQZMrYNcfwZbt2Zt0pjaA,0.72,0.527,0.209,0.0,0.116,-12.113,1,0.0283,62.663,0.362
65eohvrL4ttjA7EfFkQOhX,0.00272,0.547,0.951,1.14e-05,0.0862,-4.079,0,0.151,95.031,0.51
6L5QMBrydoaapTDMQ0Anui,0.0287,0.566,0.969,0.000442,0.281,-3.369,0,0.046,100.012,0.641
0faXHILILebCGnJBPU6KJJ,7.13e-05,0.392,0.964,0.0387,0.106,-4.441,0,0.0644,167.024,0.269
2yXyz4NLTZx9CLdXfLTp5E,0.000165,0.533,0.955,1.36e-05,0.38,-3.708,1,0.0653,107.984,0.55
2D9BrlpeyjXF0vli2dYQ5V,0.000868,0.4,0.886,0.000211,0.122,-5.078,1,0.0521,195.958,0.406
7gQ7DfSSc3b8e4cHtFnDxu,3.83e-05,0.478,0.971,2.77e-05,0.295,-2.729,1,0.0858,90.526,0.284
4JXfNOePhdgMOI7KZ1L25U,0.00012,0.347,0.868,0.000273,0.0845,-4.145,0,0.0467,182.851,0.313
4BJyt25nburVwbnESDeIc7,0.00305,0.49,0.774,8.16e-05,0.12,-5.436,0,0.0604,153.048,0.297
4wh0E9OwMCxcaIKTg0Mts9,2.99e-05,0.462,0.89,0.00909,0.0685,-4.853,1,0.0382,155.008,0.383
5qMSuD0mfQVQSA0CjifBi0,5.49e-05,0.369,0.933,0.0,0.348,-4.441,1,0.117,168.059,0.307
10ASBwZsp7oUUDsJEYz3uS,0.00015,0.345,0.929,0.00106,0.129,-4.469,0,0.142,155.041,0.181
2busyK7jKVJaZN4Q6gZqKw,0.00134,0.582,0.929,0.0365,0.0371,-3.582,1,0.0668,106.003,0.58
0c3fJd2HRi6uHWgTljIae5,8.49e-05,0.358,0.75,0.0,0.113,-3.572,1,0.0414,125.103,0.218
7HjNOz8Y7H7uSySXuHNg1Y,0.0561,0.241,0.534,2.13e-06,0.103,-7.207,1,0.0321,159.974,0.277
7u93rCmIM9mBoT4mvfUBTZ,1e-05,0.313,0.948,3.52e-05,0.105,-2.772,0,0.0762,163.881,0.242
5JBH2osD5Y5AneMKPOfY1s,0.00064,0.539,0.96,0.000899,0.113,-3.484,1,0.0535,99.135,0.471
2G1xOn9PhRgi63XWp2ToZx,1.09e-05,0.256,0.916,1.01e-05,0.208,-3.383,0,0.0761,169.11,0.41
6ZfPmIbwzz6fopTNwAJTPs,0.000248,0.376,0.967,2.64e-06,0.0575,-3.277,0,0.166,91.582,0.226
0ZEeEZnZ496lE6kN7bmSrp,0.00021,0.298,0.927,0.0,0.296,-4.396,0,0.0995,133.997,0.389
0Cx5QWilR60IyyUvGZQtDC,0.000132,0.544,0.895,0.107,0.147,-6.207,1,0.0522,98.128,0.875
6BWrIaoodtt7EX6kToWZw0,0.00034,0.196,0.85,1.03e-06,0.0799,-3.644,1,0.0531,156.725,0.4
07huQEWGQAe7aJaeR08Cag,8.53e-06,0.493,0.936,9.73e-05,0.358,-4.525,1,0.0331,93.501,0.683
6HDBZFpozQsnYZ88ic250y,0.000331,0.316,0.903,7.19e-05,0.102,-3.234,1,0.0908,171.953,0.59
7egnrHJAANlNymbrmQNKcG,0.202,0.487,0.646,3.1e-06,0.11,-6.878,0,0.0299,97.083,0.16
5r95yxmemjPfVSjCoSeAP4,6.54e-05,0.291,0.728,5.74e-06,0.127,-3.891,0,0.0376,94.185,0.17
6AGQ7pKkcnc6RVjtARt1ph,3.98e-05,0.476,0.907,4.32e-06,0.353,-3.938,1,0.0593,96.515,0.303
6VGKfZmYkkMsd2pij0jNiF,0.0019,0.493,0.843,0.0086,0.0835,-4.893,0,0.0482,92.827,0.416
7rOv6HovIJvYHXCg0cVfTk,3.15e-05,0.4,0.982,8.2e-05,0.133,-2.147,1,0.123,155.046,0.384
2DezzC1osZwVm3lxIRlrCe,0.00239,0.27,0.878,0.0,0.0541,-3.957,1,0.106,118.28,0.252
536bkD2pabwDI6kHCzHv5T,1.88e-05,0.346,0.846,0.000858,0.117,-4.796,0,0.0621,143.152,0.28
7pDHM9huHHpRc9CrxZElsW,5.37e-05,0.477,0.85,0.000113,0.224,-4.517,1,0.0601,91.964,0.533
5xgXG5BfCNO6KJrQOHKprg,1.5e-05,0.179,0.953,0.00109,0.363,-2.686,1,0.202,153.955,0.337
3OE4VBO845k24R8ZzuMpvj,0.0407,0.536,0.803,0.0,0.111,-2.998,1,0.0285,107.973,0.254
6yfGW1uvUa3riTuZbf3zed,0.00183,0.381,0.65,0.0,0.333,-5.706,1,0.0318,154.773,0.152
2lVLgsRENLhr7lCq88udyX,0.0308,0.625,0.682,0.00606,0.108,-6.845,1,0.034,119.972,0.321
3IiMnjK7S2PlsPVMuAH7rU,0.000113,0.354,0.943,0.0187,0.104,-3.633,1,0.288,94.416,0.367
4sSutqK9JRIqWDRBQ9zP9o,0.000156,0.513,0.842,0.0645,0.0501,-6.02,1,0.0425,93.9,0.579
2ehkJlAysINP3czoqaklyT,0.561,0.618,0.317,0.0,0.102,-9.835,1,0.0278,124.826,0.372
2aR044FPbZk0iJRzJW31su,2.16e-05,0.52,0.929,0.00143,0.264,-5.115,1,0.0579,108.292,0.606
5BrxQCdse2b424hlurCvGz,0.000997,0.32,0.91,0.0,0.16,-5.321,1,0.114,165.943,0.22
6FlCPO7Z0QGgwtIL8ocZzY,0.000431,0.42,0.899,0.000245,0.23,-5.446,0,0.0745,132.016,0.193
3IvUhEVbbA81QnEVhsFHiH,0.000792,0.459,0.859,0.0,0.0729,-5.859,0,0.0492,100.107,0.408
69Tx9JvyHEMRLJxjPyFsuy,0.000142,0.352,0.693,2.3e-05,0.12,-6.612,1,0.0628,175.914,0.151
22TsEcjgI6XfLUj5OrCLkw,0.00295,0.419,0.673,0.0,0.0943,-6.577,0,0.0391,103.017,0.17
05tn6MGYoFRaXPYQpZmPcc,1.92e-05,0.293,0.904,0.0,0.103,-4.155,0,0.0736,172.168,0.294
4Dsxp3FZYCLUxYjQpQo1BP,0.000573,0.325,0.91,0.106,0.064,-4.878,0,0.169,132.094,0.142
35SrlqVrYmRxAB4g54ow9z,0.00121,0.561,0.966,0.00117,0.272,-4.029,0,0.258,104.022,0.0769
0QuMMBMqyibCGRjaOwB5CZ,0.0301,0.468,0.767,0.0,0.0909,-5.86,1,0.0429,128.015,0.0992
04QKeqtQ1KCDHTXK6mNwqX,0.00245,0.353,0.762,6.4e-06,0.0907,-5.422,1,0.0386,148.008,0.169
